"P (MPa)","T (°C)","V (m3/kg)","U (kJ/kg)","H (kJ/kg)","S [kJ/(kg K)]","Phase"
0.05,1100,12.67,4260,4894,10.49,"vapor"
0.05,1200,13.6,4471,5151,10.67,"vapor"
0.05,1300,14.52,4687,5413,10.84,"vapor"
0.05,1400,15.44,4909,5681,11.01,"vapor"
0.05,1500,16.37,5136,5954,11.17,"vapor"
0.05,1600,17.29,5367,6231,11.32,"vapor"
0.05,1800,19.14,5840,6797,11.61,"vapor"
0.05,2000,20.98,6328,7377,11.87,"vapor"
0.06,0,0.001,-0.04001,0.02,0.00015,"liquid"
0.06,5,0.001,21.02,21.08,0.07625,"liquid"
0.06,10,0.001,42.02,42.08,0.1511,"liquid"
0.06,15,0.001001,62.98,63.04,0.2245,"liquid"
0.06,20,0.001002,83.91,83.97,0.2965,"liquid"
0.06,25,0.001003,104.8,104.9,0.3672,"liquid"
0.06,30,0.001004,125.7,125.8,0.4367,"liquid"
0.06,35,0.001006,146.6,146.7,0.5051,"liquid"
0.06,40,0.001008,167.5,167.6,0.5724,"liquid"
0.06,45,0.00101,188.4,188.5,0.6386,"liquid"
0.06,50,0.001012,209.3,209.4,0.7038,"liquid"
0.06,55,0.001015,230.2,230.3,0.768,"liquid"
0.06,60,0.001017,251.1,251.2,0.8313,"liquid"
0.06,65,0.00102,272.1,272.1,0.8936,"liquid"
0.06,70,0.001023,293,293.1,0.9551,"liquid"
0.06,75,0.001026,314,314.1,1.016,"liquid"
0.06,80,0.001029,335,335,1.076,"liquid"
0.06,85,0.001032,356,356,1.135,"liquid"
0.06,85.93,0.001033,359.8,359.9,1.145,"saturated liquid"
0.06,85.93,2.732,2489,2653,7.531,"saturated vapor"
0.06,90,2.765,2495,2661,7.554,"vapor"
0.06,95,2.805,2503,2671,7.581,"vapor"
0.06,100,2.845,2510,2681,7.608,"vapor"
0.06,105,2.884,2518,2691,7.635,"vapor"
0.06,110,2.924,2526,2701,7.661,"vapor"
0.06,115,2.964,2533,2711,7.687,"vapor"
0.06,120,3.003,2541,2721,7.712,"vapor"
0.06,125,3.043,2548,2731,7.737,"vapor"
0.06,130,3.082,2555,2740,7.761,"vapor"
0.06,135,3.121,2563,2750,7.785,"vapor"
0.06,140,3.16,2570,2760,7.809,"vapor"
0.06,145,3.2,2578,2770,7.833,"vapor"
0.06,150,3.239,2585,2780,7.856,"vapor"
0.06,155,3.278,2593,2789,7.879,"vapor"
0.06,160,3.317,2600,2799,7.902,"vapor"
0.06,165,3.356,2607,2809,7.924,"vapor"
0.06,170,3.395,2615,2819,7.946,"vapor"
0.06,175,3.434,2622,2828,7.968,"vapor"
0.06,180,3.473,2630,2838,7.99,"vapor"
0.06,185,3.512,2637,2848,8.011,"vapor"
0.06,190,3.551,2645,2858,8.032,"vapor"
0.06,195,3.589,2652,2868,8.054,"vapor"
0.06,200,3.628,2660,2877,8.074,"vapor"
0.06,210,3.706,2675,2897,8.115,"vapor"
0.06,220,3.783,2690,2917,8.156,"vapor"
0.06,230,3.861,2705,2936,8.195,"vapor"
0.06,240,3.938,2720,2956,8.234,"vapor"
0.06,250,4.016,2735,2976,8.272,"vapor"
0.06,260,4.093,2750,2996,8.31,"vapor"
0.06,270,4.171,2765,3016,8.347,"vapor"
0.06,280,4.248,2781,3036,8.383,"vapor"
0.06,290,4.325,2796,3056,8.419,"vapor"
0.06,300,4.402,2811,3076,8.454,"vapor"
0.06,310,4.48,2827,3096,8.489,"vapor"
0.06,320,4.557,2842,3116,8.523,"vapor"
0.06,330,4.634,2858,3136,8.557,"vapor"
0.06,340,4.711,2874,3156,8.59,"vapor"
0.06,350,4.788,2889,3177,8.623,"vapor"
0.06,360,4.865,2905,3197,8.656,"vapor"
0.06,370,4.943,2921,3217,8.688,"vapor"
0.06,380,5.02,2937,3238,8.719,"vapor"
0.06,390,5.097,2953,3259,8.751,"vapor"
0.06,400,5.174,2969,3279,8.782,"vapor"
0.06,410,5.251,2985,3300,8.812,"vapor"
0.06,420,5.328,3001,3321,8.842,"vapor"
0.06,430,5.405,3017,3342,8.872,"vapor"
0.06,440,5.482,3033,3362,8.902,"vapor"
0.06,450,5.559,3050,3383,8.931,"vapor"
0.06,460,5.636,3066,3404,8.96,"vapor"
0.06,470,5.713,3083,3426,8.988,"vapor"
0.06,480,5.79,3099,3447,9.017,"vapor"
0.06,490,5.867,3116,3468,9.045,"vapor"
0.06,500,5.944,3133,3489,9.072,"vapor"
0.06,520,6.098,3166,3532,9.127,"vapor"
0.06,540,6.252,3200,3575,9.181,"vapor"
0.06,560,6.406,3234,3618,9.233,"vapor"
0.06,580,6.56,3268,3662,9.285,"vapor"
0.06,600,6.714,3303,3706,9.336,"vapor"
0.06,620,6.868,3338,3750,9.386,"vapor"
0.06,640,7.022,3373,3795,9.435,"vapor"
0.06,660,7.176,3409,3839,9.484,"vapor"
0.06,680,7.33,3444,3884,9.531,"vapor"
0.06,700,7.484,3481,3930,9.578,"vapor"
0.06,720,7.638,3517,3975,9.625,"vapor"
0.06,740,7.792,3554,4021,9.671,"vapor"
0.06,760,7.946,3590,4067,9.716,"vapor"
0.06,780,8.1,3628,4114,9.76,"vapor"
0.06,800,8.254,3665,4160,9.804,"vapor"
0.06,820,8.408,3703,4207,9.847,"vapor"
0.06,840,8.562,3741,4255,9.89,"vapor"
0.06,860,8.715,3779,4302,9.933,"vapor"
0.06,880,8.869,3818,4350,9.975,"vapor"
0.06,900,9.023,3857,4398,10.02,"vapor"
0.06,920,9.177,3896,4447,10.06,"vapor"
0.06,940,9.331,3935,4495,10.1,"vapor"
0.06,960,9.485,3975,4544,10.14,"vapor"
0.06,980,9.639,4015,4593,10.18,"vapor"
0.06,1000,9.793,4055,4643,10.22,"vapor"
0.06,1100,10.56,4260,4894,10.41,"vapor"
0.06,1200,11.33,4471,5151,10.59,"vapor"
0.06,1300,12.1,4687,5413,10.76,"vapor"
0.06,1400,12.87,4909,5681,10.92,"vapor"
0.06,1500,13.64,5136,5954,11.08,"vapor"
0.06,1600,14.41,5366,6231,11.23,"vapor"
0.06,1800,15.95,5840,6797,11.52,"vapor"
0.06,2000,17.49,6328,7377,11.79,"vapor"
0.07,0,0.001,-0.04001,0.03,-0.00015,"liquid"
0.07,5,0.001,21.02,21.09,0.07625,"liquid"
0.07,10,0.001,42.02,42.09,0.1511,"liquid"
0.07,15,0.001001,62.98,63.05,0.2245,"liquid"
0.07,20,0.001002,83.91,83.98,0.2965,"liquid"
0.07,25,0.001003,104.8,104.9,0.3672,"liquid"
0.07,30,0.001004,125.7,125.8,0.4367,"liquid"
0.07,35,0.001006,146.6,146.7,0.5051,"liquid"
0.07,40,0.001008,167.5,167.6,0.5724,"liquid"
0.07,45,0.00101,188.4,188.5,0.6386,"liquid"
0.07,50,0.001012,209.3,209.4,0.7038,"liquid"
0.07,55,0.001015,230.2,230.3,0.768,"liquid"
0.07,60,0.001017,251.1,251.2,0.8313,"liquid"
0.07,65,0.00102,272.1,272.2,0.8936,"liquid"
0.07,70,0.001023,293,293.1,0.9551,"liquid"
0.07,75,0.001026,314,314.1,1.016,"liquid"
0.07,80,0.001029,335,335,1.076,"liquid"
0.07,85,0.001032,355.9,356,1.135,"liquid"
0.07,89.93,0.001036,376.7,376.8,1.192,"saturated liquid"
0.07,89.93,2.365,2494,2659,7.479,"saturated vapor"
0.07,90,2.365,2494,2660,7.479,"vapor"
0.07,95,2.4,2502,2670,7.507,"vapor"
0.07,100,2.434,2509,2680,7.534,"vapor"
0.07,105,2.469,2517,2690,7.561,"vapor"
0.07,110,2.503,2525,2700,7.587,"vapor"
0.07,115,2.537,2532,2710,7.613,"vapor"
0.07,120,2.571,2540,2720,7.639,"vapor"
0.07,125,2.605,2547,2730,7.664,"vapor"
0.07,130,2.639,2555,2740,7.688,"vapor"
0.07,135,2.673,2562,2749,7.712,"vapor"
0.07,140,2.706,2570,2759,7.736,"vapor"
0.07,145,2.74,2577,2769,7.76,"vapor"
0.07,150,2.774,2585,2779,7.783,"vapor"
0.07,155,2.807,2592,2789,7.806,"vapor"
0.07,160,2.841,2600,2798,7.829,"vapor"
0.07,165,2.874,2607,2808,7.852,"vapor"
0.07,170,2.908,2614,2818,7.874,"vapor"
0.07,175,2.941,2622,2828,7.896,"vapor"
0.07,180,2.975,2629,2838,7.918,"vapor"
0.07,185,3.008,2637,2847,7.939,"vapor"
0.07,190,3.042,2644,2857,7.961,"vapor"
0.07,195,3.075,2652,2867,7.982,"vapor"
0.07,200,3.108,2659,2877,8.002,"vapor"
0.07,210,3.175,2674,2897,8.044,"vapor"
0.07,220,3.242,2689,2916,8.084,"vapor"
0.07,230,3.308,2704,2936,8.124,"vapor"
0.07,240,3.375,2719,2956,8.162,"vapor"
0.07,250,3.441,2735,2976,8.201,"vapor"
0.07,260,3.507,2750,2995,8.238,"vapor"
0.07,270,3.574,2765,3015,8.275,"vapor"
0.07,280,3.64,2780,3035,8.312,"vapor"
0.07,290,3.706,2796,3055,8.347,"vapor"
0.07,300,3.773,2811,3075,8.383,"vapor"
0.07,310,3.839,2827,3095,8.418,"vapor"
0.07,320,3.905,2842,3116,8.452,"vapor"
0.07,330,3.971,2858,3136,8.486,"vapor"
0.07,340,4.037,2873,3156,8.519,"vapor"
0.07,350,4.104,2889,3176,8.552,"vapor"
0.07,360,4.17,2905,3197,8.584,"vapor"
0.07,370,4.236,2921,3217,8.616,"vapor"
0.07,380,4.302,2937,3238,8.648,"vapor"
0.07,390,4.368,2953,3258,8.679,"vapor"
0.07,400,4.434,2969,3279,8.71,"vapor"
0.07,410,4.5,2985,3300,8.741,"vapor"
0.07,420,4.566,3001,3321,8.771,"vapor"
0.07,430,4.632,3017,3341,8.801,"vapor"
0.07,440,4.699,3033,3362,8.83,"vapor"
0.07,450,4.765,3050,3383,8.86,"vapor"
0.07,460,4.831,3066,3404,8.889,"vapor"
0.07,470,4.897,3083,3425,8.917,"vapor"
0.07,480,4.963,3099,3447,8.945,"vapor"
0.07,490,5.029,3116,3468,8.973,"vapor"
0.07,500,5.095,3132,3489,9.001,"vapor"
0.07,520,5.227,3166,3532,9.056,"vapor"
0.07,540,5.359,3200,3575,9.109,"vapor"
0.07,560,5.491,3234,3618,9.162,"vapor"
0.07,580,5.623,3268,3662,9.214,"vapor"
0.07,600,5.755,3303,3706,9.265,"vapor"
0.07,620,5.887,3338,3750,9.315,"vapor"
0.07,640,6.019,3373,3795,9.364,"vapor"
0.07,660,6.151,3409,3839,9.412,"vapor"
0.07,680,6.283,3444,3884,9.46,"vapor"
0.07,700,6.415,3480,3930,9.507,"vapor"
0.07,720,6.547,3517,3975,9.554,"vapor"
0.07,740,6.679,3553,4021,9.599,"vapor"
0.07,760,6.811,3590,4067,9.644,"vapor"
0.07,780,6.943,3628,4114,9.689,"vapor"
0.07,800,7.075,3665,4160,9.733,"vapor"
0.07,820,7.206,3703,4207,9.776,"vapor"
0.07,840,7.338,3741,4255,9.819,"vapor"
0.07,860,7.47,3779,4302,9.862,"vapor"
0.07,880,7.602,3818,4350,9.903,"vapor"
0.07,900,7.734,3857,4398,9.945,"vapor"
0.07,920,7.866,3896,4447,9.986,"vapor"
0.07,940,7.998,3935,4495,10.03,"vapor"
0.07,960,8.13,3975,4544,10.07,"vapor"
0.07,980,8.262,4015,4593,10.11,"vapor"
0.07,1000,8.394,4055,4643,10.15,"vapor"
0.07,1100,9.053,4260,4894,10.33,"vapor"
0.07,1200,9.713,4471,5151,10.52,"vapor"
0.07,1300,10.37,4687,5413,10.69,"vapor"
0.07,1400,11.03,4909,5681,10.85,"vapor"
0.07,1500,11.69,5136,5954,11.01,"vapor"
0.07,1600,12.35,5367,6231,11.16,"vapor"
0.07,1800,13.67,5840,6797,11.45,"vapor"
0.07,2000,14.99,6328,7377,11.72,"vapor"
0.08,0,0.001,-0.04001,0.04,-0.00015,"liquid"
0.08,5,0.001,21.02,21.1,0.07625,"liquid"
0.08,10,0.001,42.02,42.1,0.1511,"liquid"
0.08,15,0.001001,62.98,63.06,0.2245,"liquid"
0.08,20,0.001002,83.91,83.99,0.2965,"liquid"
0.08,25,0.001003,104.8,104.9,0.3672,"liquid"
0.08,30,0.001004,125.7,125.8,0.4367,"liquid"
0.08,35,0.001006,146.6,146.7,0.5051,"liquid"
0.08,40,0.001008,167.5,167.6,0.5724,"liquid"
0.08,45,0.00101,188.4,188.5,0.6386,"liquid"
0.08,50,0.001012,209.3,209.4,0.7038,"liquid"
0.08,55,0.001015,230.2,230.3,0.768,"liquid"
0.08,60,0.001017,251.1,251.2,0.8313,"liquid"
0.08,65,0.00102,272.1,272.2,0.8936,"liquid"
0.08,70,0.001023,293,293.1,0.9551,"liquid"
0.08,75,0.001026,314,314.1,1.016,"liquid"
0.08,80,0.001029,335,335,1.076,"liquid"
0.08,85,0.001032,355.9,356,1.135,"liquid"
0.08,90,0.001036,377,377.1,1.193,"liquid"
0.08,93.49,0.001039,391.6,391.7,1.233,"saturated liquid"
0.08,93.49,2.087,2498,2665,7.434,"saturated vapor"
0.08,95,2.096,2501,2668,7.442,"vapor"
0.08,100,2.127,2508,2679,7.47,"vapor"
0.08,105,2.157,2516,2689,7.497,"vapor"
0.08,110,2.187,2524,2699,7.523,"vapor"
0.08,115,2.217,2531,2709,7.549,"vapor"
0.08,120,2.247,2539,2719,7.575,"vapor"
0.08,125,2.277,2546,2729,7.6,"vapor"
0.08,130,2.307,2554,2739,7.625,"vapor"
0.08,135,2.336,2562,2749,7.649,"vapor"
0.08,140,2.366,2569,2758,7.673,"vapor"
0.08,145,2.395,2577,2768,7.697,"vapor"
0.08,150,2.425,2584,2778,7.72,"vapor"
0.08,155,2.454,2592,2788,7.744,"vapor"
0.08,160,2.484,2599,2798,7.766,"vapor"
0.08,165,2.513,2607,2808,7.789,"vapor"
0.08,170,2.543,2614,2817,7.811,"vapor"
0.08,175,2.572,2621,2827,7.833,"vapor"
0.08,180,2.601,2629,2837,7.855,"vapor"
0.08,185,2.631,2636,2847,7.877,"vapor"
0.08,190,2.66,2644,2857,7.898,"vapor"
0.08,195,2.689,2651,2867,7.919,"vapor"
0.08,200,2.718,2659,2876,7.94,"vapor"
0.08,210,2.777,2674,2896,7.981,"vapor"
0.08,220,2.835,2689,2916,8.022,"vapor"
0.08,230,2.893,2704,2936,8.061,"vapor"
0.08,240,2.952,2719,2955,8.1,"vapor"
0.08,250,3.01,2734,2975,8.139,"vapor"
0.08,260,3.068,2750,2995,8.176,"vapor"
0.08,270,3.126,2765,3015,8.213,"vapor"
0.08,280,3.184,2780,3035,8.25,"vapor"
0.08,290,3.242,2796,3055,8.285,"vapor"
0.08,300,3.3,2811,3075,8.321,"vapor"
0.08,310,3.358,2826,3095,8.356,"vapor"
0.08,320,3.416,2842,3115,8.39,"vapor"
0.08,330,3.474,2858,3136,8.424,"vapor"
0.08,340,3.532,2873,3156,8.457,"vapor"
0.08,350,3.59,2889,3176,8.49,"vapor"
0.08,360,3.648,2905,3197,8.523,"vapor"
0.08,370,3.706,2921,3217,8.555,"vapor"
0.08,380,3.764,2937,3238,8.586,"vapor"
0.08,390,3.822,2952,3258,8.618,"vapor"
0.08,400,3.879,2969,3279,8.649,"vapor"
0.08,410,3.937,2985,3300,8.679,"vapor"
0.08,420,3.995,3001,3320,8.709,"vapor"
0.08,430,4.053,3017,3341,8.739,"vapor"
0.08,440,4.111,3033,3362,8.769,"vapor"
0.08,450,4.169,3050,3383,8.798,"vapor"
0.08,460,4.226,3066,3404,8.827,"vapor"
0.08,470,4.284,3082,3425,8.855,"vapor"
0.08,480,4.342,3099,3446,8.884,"vapor"
0.08,490,4.4,3116,3468,8.912,"vapor"
0.08,500,4.458,3132,3489,8.939,"vapor"
0.08,520,4.573,3166,3532,8.994,"vapor"
0.08,540,4.689,3200,3575,9.048,"vapor"
0.08,560,4.804,3234,3618,9.1,"vapor"
0.08,580,4.92,3268,3662,9.152,"vapor"
0.08,600,5.035,3303,3706,9.203,"vapor"
0.08,620,5.151,3338,3750,9.253,"vapor"
0.08,640,5.266,3373,3794,9.302,"vapor"
0.08,660,5.382,3409,3839,9.351,"vapor"
0.08,680,5.497,3444,3884,9.398,"vapor"
0.08,700,5.613,3480,3930,9.446,"vapor"
0.08,720,5.728,3517,3975,9.492,"vapor"
0.08,740,5.844,3554,4021,9.538,"vapor"
0.08,760,5.959,3590,4067,9.583,"vapor"
0.08,780,6.075,3628,4114,9.627,"vapor"
0.08,800,6.19,3665,4160,9.671,"vapor"
0.08,820,6.306,3703,4207,9.715,"vapor"
0.08,840,6.421,3741,4255,9.758,"vapor"
0.08,860,6.536,3779,4302,9.8,"vapor"
0.08,880,6.652,3818,4350,9.842,"vapor"
0.08,900,6.767,3857,4398,9.883,"vapor"
0.08,920,6.883,3896,4447,9.924,"vapor"
0.08,940,6.998,3935,4495,9.964,"vapor"
0.08,960,7.114,3975,4544,10,"vapor"
0.08,980,7.229,4015,4593,10.04,"vapor"
0.08,1000,7.344,4055,4643,10.08,"vapor"
0.08,1100,7.922,4260,4894,10.27,"vapor"
0.08,1200,8.499,4471,5151,10.45,"vapor"
0.08,1300,9.076,4687,5413,10.63,"vapor"
0.08,1400,9.653,4909,5681,10.79,"vapor"
0.08,1500,10.23,5136,5954,10.95,"vapor"
0.08,1600,10.81,5367,6231,11.1,"vapor"
0.08,1800,11.96,5840,6797,11.39,"vapor"
0.08,2000,13.11,6328,7377,11.66,"vapor"
0.09,0,0.001,-0.04001,0.05,-0.00015,"liquid"
0.09,5,0.001,21.02,21.11,0.07625,"liquid"
0.09,10,0.001,42.02,42.11,0.1511,"liquid"
0.09,15,0.001001,62.98,63.07,0.2245,"liquid"
0.09,20,0.001002,83.91,84,0.2965,"liquid"
0.09,25,0.001003,104.8,104.9,0.3672,"liquid"
0.09,30,0.001004,125.7,125.8,0.4367,"liquid"
0.09,35,0.001006,146.6,146.7,0.5051,"liquid"
0.09,40,0.001008,167.5,167.6,0.5724,"liquid"
0.09,45,0.00101,188.4,188.5,0.6386,"liquid"
0.09,50,0.001012,209.3,209.4,0.7038,"liquid"
0.09,55,0.001015,230.2,230.3,0.768,"liquid"
0.09,60,0.001017,251.1,251.2,0.8313,"liquid"
0.09,65,0.00102,272.1,272.2,0.8936,"liquid"
0.09,70,0.001023,293,293.1,0.9551,"liquid"
0.09,75,0.001026,314,314.1,1.016,"liquid"
0.09,80,0.001029,335,335.1,1.076,"liquid"
0.09,85,0.001032,355.9,356,1.135,"liquid"
0.09,90,0.001036,377,377.1,1.193,"liquid"
0.09,95,0.00104,398,398.1,1.25,"liquid"
0.09,96.69,0.001041,405.1,405.2,1.27,"saturated liquid"
0.09,96.69,1.869,2502,2670,7.394,"saturated vapor"
0.09,100,1.887,2507,2677,7.413,"vapor"
0.09,105,1.914,2515,2687,7.44,"vapor"
0.09,110,1.941,2523,2698,7.467,"vapor"
0.09,115,1.968,2530,2708,7.493,"vapor"
0.09,120,1.995,2538,2718,7.519,"vapor"
0.09,125,2.022,2546,2728,7.544,"vapor"
0.09,130,2.048,2553,2738,7.569,"vapor"
0.09,135,2.075,2561,2748,7.593,"vapor"
0.09,140,2.101,2568,2758,7.617,"vapor"
0.09,145,2.127,2576,2767,7.641,"vapor"
0.09,150,2.154,2583,2777,7.665,"vapor"
0.09,155,2.18,2591,2787,7.688,"vapor"
0.09,160,2.206,2599,2797,7.711,"vapor"
0.09,165,2.232,2606,2807,7.734,"vapor"
0.09,170,2.259,2614,2817,7.756,"vapor"
0.09,175,2.285,2621,2827,7.778,"vapor"
0.09,180,2.311,2629,2837,7.8,"vapor"
0.09,185,2.337,2636,2846,7.821,"vapor"
0.09,190,2.363,2644,2856,7.843,"vapor"
0.09,195,2.389,2651,2866,7.864,"vapor"
0.09,200,2.415,2659,2876,7.885,"vapor"
0.09,210,2.467,2674,2896,7.926,"vapor"
0.09,220,2.519,2689,2915,7.967,"vapor"
0.09,230,2.571,2704,2935,8.006,"vapor"
0.09,240,2.623,2719,2955,8.045,"vapor"
0.09,250,2.674,2734,2975,8.084,"vapor"
0.09,260,2.726,2749,2995,8.121,"vapor"
0.09,270,2.778,2765,3015,8.158,"vapor"
0.09,280,2.83,2780,3035,8.195,"vapor"
0.09,290,2.881,2795,3055,8.231,"vapor"
0.09,300,2.933,2811,3075,8.266,"vapor"
0.09,310,2.984,2826,3095,8.301,"vapor"
0.09,320,3.036,2842,3115,8.335,"vapor"
0.09,330,3.088,2858,3135,8.369,"vapor"
0.09,340,3.139,2873,3156,8.403,"vapor"
0.09,350,3.191,2889,3176,8.435,"vapor"
0.09,360,3.242,2905,3196,8.468,"vapor"
0.09,370,3.294,2920,3217,8.5,"vapor"
0.09,380,3.345,2936,3238,8.532,"vapor"
0.09,390,3.396,2952,3258,8.563,"vapor"
0.09,400,3.448,2968,3279,8.594,"vapor"
0.09,410,3.499,2984,3299,8.625,"vapor"
0.09,420,3.551,3001,3320,8.655,"vapor"
0.09,430,3.602,3017,3341,8.685,"vapor"
0.09,440,3.654,3033,3362,8.714,"vapor"
0.09,450,3.705,3050,3383,8.743,"vapor"
0.09,460,3.756,3066,3404,8.772,"vapor"
0.09,470,3.808,3082,3425,8.801,"vapor"
0.09,480,3.859,3099,3446,8.829,"vapor"
0.09,490,3.911,3116,3468,8.857,"vapor"
0.09,500,3.962,3132,3489,8.885,"vapor"
0.09,520,4.065,3166,3532,8.94,"vapor"
0.09,540,4.168,3200,3575,8.993,"vapor"
0.09,560,4.27,3234,3618,9.046,"vapor"
0.09,580,4.373,3268,3662,9.098,"vapor"
0.09,600,4.476,3303,3706,9.149,"vapor"
0.09,620,4.578,3338,3750,9.199,"vapor"
0.09,640,4.681,3373,3794,9.248,"vapor"
0.09,660,4.784,3409,3839,9.296,"vapor"
0.09,680,4.886,3444,3884,9.344,"vapor"
0.09,700,4.989,3480,3929,9.391,"vapor"
0.09,720,5.092,3517,3975,9.438,"vapor"
0.09,740,5.194,3553,4021,9.483,"vapor"
0.09,760,5.297,3590,4067,9.528,"vapor"
0.09,780,5.4,3628,4114,9.573,"vapor"
0.09,800,5.502,3665,4160,9.617,"vapor"
0.09,820,5.605,3703,4207,9.66,"vapor"
0.09,840,5.707,3741,4255,9.703,"vapor"
0.09,860,5.81,3779,4302,9.745,"vapor"
0.09,880,5.913,3818,4350,9.787,"vapor"
0.09,900,6.015,3857,4398,9.829,"vapor"
0.09,920,6.118,3896,4446,9.87,"vapor"
0.09,940,6.221,3935,4495,9.91,"vapor"
0.09,960,6.323,3975,4544,9.95,"vapor"
0.09,980,6.426,4015,4593,9.99,"vapor"
0.09,1000,6.528,4055,4643,10.03,"vapor"
0.09,1100,7.041,4260,4894,10.22,"vapor"
0.09,1200,7.554,4471,5151,10.4,"vapor"
0.09,1300,8.067,4687,5413,10.57,"vapor"
0.09,1400,8.58,4909,5681,10.74,"vapor"
0.09,1500,9.093,5136,5954,10.9,"vapor"
0.09,1600,9.606,5366,6231,11.05,"vapor"
0.09,1800,10.63,5840,6797,11.33,"vapor"
0.09,2000,11.66,6328,7377,11.6,"vapor"
0.1,0,0.001,-0.04002,0.06,-0.00015,"liquid"
0.1,5,0.001,21.02,21.12,0.07625,"liquid"
0.1,10,0.001,42.02,42.12,0.1511,"liquid"
0.1,15,0.001001,62.98,63.08,0.2245,"liquid"
0.1,20,0.001002,83.91,84.01,0.2965,"liquid"
0.1,25,0.001003,104.8,104.9,0.3672,"liquid"
0.1,30,0.001004,125.7,125.8,0.4367,"liquid"
0.1,35,0.001006,146.6,146.7,0.5051,"liquid"
0.1,40,0.001008,167.5,167.6,0.5724,"liquid"
0.1,45,0.00101,188.4,188.5,0.6386,"liquid"
0.1,50,0.001012,209.3,209.4,0.7038,"liquid"
0.1,55,0.001015,230.2,230.3,0.768,"liquid"
0.1,60,0.001017,251.1,251.3,0.8313,"liquid"
0.1,65,0.00102,272.1,272.2,0.8936,"liquid"
0.1,70,0.001023,293,293.1,0.9551,"liquid"
0.1,75,0.001026,314,314.1,1.016,"liquid"
0.1,80,0.001029,334.9,335.1,1.076,"liquid"
0.1,85,0.001032,355.9,356.1,1.135,"liquid"
0.1,90,0.001036,377,377.1,1.193,"liquid"
0.1,95,0.00104,398,398.1,1.25,"liquid"
0.1,99.61,0.001043,417.4,417.5,1.303,"saturated liquid"
0.1,99.61,1.694,2506,2675,7.359,"saturated vapor"
0.1,100,1.696,2506,2676,7.361,"vapor"
0.1,105,1.72,2514,2686,7.389,"vapor"
0.1,110,1.745,2522,2696,7.416,"vapor"
0.1,115,1.769,2530,2707,7.442,"vapor"
0.1,120,1.793,2537,2717,7.468,"vapor"
0.1,125,1.817,2545,2727,7.493,"vapor"
0.1,130,1.841,2553,2737,7.518,"vapor"
0.1,135,1.865,2560,2747,7.543,"vapor"
0.1,140,1.889,2568,2757,7.567,"vapor"
0.1,145,1.913,2575,2767,7.591,"vapor"
0.1,150,1.937,2583,2777,7.615,"vapor"
0.1,155,1.96,2590,2787,7.638,"vapor"
0.1,160,1.984,2598,2796,7.661,"vapor"
0.1,165,2.008,2606,2806,7.684,"vapor"
0.1,170,2.031,2613,2816,7.706,"vapor"
0.1,175,2.055,2621,2826,7.728,"vapor"
0.1,180,2.079,2628,2836,7.75,"vapor"
0.1,185,2.102,2636,2846,7.772,"vapor"
0.1,190,2.126,2643,2856,7.793,"vapor"
0.1,195,2.149,2651,2866,7.815,"vapor"
0.1,200,2.172,2658,2876,7.836,"vapor"
0.1,210,2.219,2673,2895,7.877,"vapor"
0.1,220,2.266,2688,2915,7.917,"vapor"
0.1,230,2.313,2704,2935,7.957,"vapor"
0.1,240,2.36,2719,2955,7.996,"vapor"
0.1,250,2.406,2734,2975,8.035,"vapor"
0.1,260,2.453,2749,2994,8.072,"vapor"
0.1,270,2.499,2764,3014,8.109,"vapor"
0.1,280,2.546,2780,3034,8.146,"vapor"
0.1,290,2.592,2795,3054,8.182,"vapor"
0.1,300,2.639,2811,3075,8.217,"vapor"
0.1,310,2.685,2826,3095,8.252,"vapor"
0.1,320,2.732,2842,3115,8.286,"vapor"
0.1,330,2.778,2857,3135,8.32,"vapor"
0.1,340,2.825,2873,3156,8.354,"vapor"
0.1,350,2.871,2889,3176,8.387,"vapor"
0.1,360,2.917,2905,3196,8.419,"vapor"
0.1,370,2.964,2920,3217,8.451,"vapor"
0.1,380,3.01,2936,3237,8.483,"vapor"
0.1,390,3.056,2952,3258,8.514,"vapor"
0.1,400,3.103,2968,3279,8.545,"vapor"
0.1,410,3.149,2984,3299,8.576,"vapor"
0.1,420,3.195,3001,3320,8.606,"vapor"
0.1,430,3.242,3017,3341,8.636,"vapor"
0.1,440,3.288,3033,3362,8.665,"vapor"
0.1,450,3.334,3049,3383,8.695,"vapor"
0.1,460,3.381,3066,3404,8.724,"vapor"
0.1,470,3.427,3082,3425,8.752,"vapor"
0.1,480,3.473,3099,3446,8.78,"vapor"
0.1,490,3.519,3115,3467,8.808,"vapor"
0.1,500,3.566,3132,3489,8.836,"vapor"
0.1,520,3.658,3166,3532,8.891,"vapor"
0.1,540,3.751,3200,3575,8.945,"vapor"
0.1,560,3.843,3234,3618,8.997,"vapor"
0.1,580,3.935,3268,3662,9.049,"vapor"
0.1,600,4.028,3303,3706,9.1,"vapor"
0.1,620,4.12,3338,3750,9.15,"vapor"
0.1,640,4.213,3373,3794,9.199,"vapor"
0.1,660,4.305,3408,3839,9.248,"vapor"
0.1,680,4.398,3444,3884,9.295,"vapor"
0.1,700,4.49,3480,3929,9.342,"vapor"
0.1,720,4.582,3517,3975,9.389,"vapor"
0.1,740,4.675,3553,4021,9.435,"vapor"
0.1,760,4.767,3590,4067,9.48,"vapor"
0.1,780,4.86,3628,4114,9.524,"vapor"
0.1,800,4.952,3665,4160,9.568,"vapor"
